contamination_rate,method,samples,sequence_recovery_rate,base_recovery_rate,avg_edit_distance,avg_nodes,avg_edges
0.0,Read-weighted Count Beam,299,0.41471571906354515,0.9669808452417148,3.632107023411371,118.21739130434783,351.10033444816054
0.0,Read-weighted Count Greedy,299,0.27424749163879597,0.844907266646397,17.06020066889632,118.21739130434783,351.10033444816054
0.0,Read-weighted MPNN Beam,299,0.9163879598662207,0.9945880206749772,0.5953177257525084,118.21739130434783,351.10033444816054
0.0,Read-weighted MPNN Uncertainty Beam,299,0.9230769230769231,0.9946792338096685,0.5852842809364549,118.21739130434783,351.10033444816054
0.0,Read-weighted MPNN+ReadAux Beam,299,0.9264214046822743,0.9947096381878989,0.5819397993311036,118.21739130434783,351.10033444816054
0.0,Read-weighted MPNN+ReadAux Uncertainty Beam,299,0.9230769230769231,0.9946488294314381,0.5886287625418061,118.21739130434783,351.10033444816054
0.0,Unweighted Count Beam,300,0.18,0.9584242424242423,4.573333333333333,162.22333333333333,491.6533333333333
0.0,Unweighted Count Greedy,300,0.05333333333333334,0.7073030303030303,32.196666666666665,162.22333333333333,491.6533333333333
0.05,Read-weighted Count Beam,299,0.4414715719063545,0.9613256308908483,4.254180602006689,116.20401337792642,344.438127090301
0.05,Read-weighted Count Greedy,299,0.28762541806020064,0.8397689267254486,17.62541806020067,116.20401337792642,344.438127090301
0.05,Read-weighted MPNN Beam,299,0.9130434782608695,0.9933414411675281,0.7324414715719063,116.20401337792642,344.438127090301
0.05,Read-weighted MPNN Uncertainty Beam,299,0.9096989966555183,0.9932502280328368,0.7424749163879598,116.20401337792642,344.438127090301
0.05,Read-weighted MPNN+ReadAux Beam,299,0.919732441471572,0.9933718455457585,0.7290969899665551,116.20401337792642,344.438127090301
0.05,Read-weighted MPNN+ReadAux Uncertainty Beam,299,0.9230769230769231,0.9934326543022196,0.7224080267558528,116.20401337792642,344.438127090301
0.05,Unweighted Count Beam,300,0.20333333333333334,0.9566363636363636,4.77,157.77666666666667,477.58666666666664
0.05,Unweighted Count Greedy,300,0.05333333333333334,0.7046060606060606,32.49333333333333,157.77666666666667,477.58666666666664
0.1,Read-weighted Count Beam,299,0.44816053511705684,0.9644572818485863,3.9096989966555182,114.35117056856187,338.7324414715719
0.1,Read-weighted Count Greedy,299,0.3210702341137124,0.8603526907874735,15.361204013377927,114.35117056856187,338.7324414715719
0.1,Read-weighted MPNN Beam,299,0.9163879598662207,0.9941319550015202,0.6454849498327759,114.35117056856187,338.7324414715719
0.1,Read-weighted MPNN Uncertainty Beam,299,0.9163879598662207,0.99346305868045,0.7190635451505016,114.35117056856187,338.7324414715719
0.1,Read-weighted MPNN+ReadAux Beam,299,0.9230769230769231,0.994375190027364,0.6187290969899666,114.35117056856187,338.7324414715719
0.1,Read-weighted MPNN+ReadAux Uncertainty Beam,299,0.9230769230769231,0.994375190027364,0.6187290969899666,114.35117056856187,338.7324414715719
0.1,Unweighted Count Beam,300,0.23,0.9576060606060607,4.663333333333333,153.19,462.58666666666664
0.1,Unweighted Count Greedy,300,0.08,0.7254242424242424,30.203333333333333,153.19,462.58666666666664
0.2,Read-weighted Count Beam,299,0.4882943143812709,0.9562480997263605,4.812709030100335,111.71571906354515,330.16722408026754
0.2,Read-weighted Count Greedy,299,0.34448160535117056,0.8570386135603527,15.725752508361204,111.71571906354515,330.16722408026754
0.2,Read-weighted MPNN Beam,299,0.882943143812709,0.9764670112496201,2.588628762541806,111.71571906354515,330.16722408026754
0.2,Read-weighted MPNN Uncertainty Beam,299,0.8729096989966555,0.9779568257829127,2.4247491638795986,111.71571906354515,330.16722408026754
0.2,Read-weighted MPNN+ReadAux Beam,299,0.882943143812709,0.9764670112496201,2.588628762541806,111.71571906354515,330.16722408026754
0.2,Read-weighted MPNN+ReadAux Uncertainty Beam,299,0.8896321070234113,0.975038005472788,2.745819397993311,111.71571906354515,330.16722408026754
0.2,Unweighted Count Beam,300,0.22333333333333333,0.9612121212121213,4.266666666666667,146.55,440.51666666666665
0.2,Unweighted Count Greedy,300,0.07333333333333333,0.75,27.5,146.55,440.51666666666665
0.3,Read-weighted Count Beam,299,0.5551839464882943,0.9522651261781697,5.250836120401337,108.18394648829431,319.13377926421407
0.3,Read-weighted Count Greedy,299,0.46153846153846156,0.884645788993615,12.688963210702342,108.18394648829431,319.13377926421407
0.3,Read-weighted MPNN Beam,299,0.8394648829431438,0.9731833384007298,2.9498327759197323,108.18394648829431,319.13377926421407
0.3,Read-weighted MPNN Uncertainty Beam,299,0.8361204013377926,0.9745211310428702,2.802675585284281,108.18394648829431,319.13377926421407
0.3,Read-weighted MPNN+ReadAux Beam,299,0.8461538461538461,0.9758285193067803,2.6588628762541804,108.18394648829431,319.13377926421407
0.3,Read-weighted MPNN+ReadAux Uncertainty Beam,299,0.8394648829431438,0.9723928245667378,3.036789297658863,108.18394648829431,319.13377926421407
0.3,Unweighted Count Beam,300,0.2966666666666667,0.955121212121212,4.9366666666666665,138.88,415.64
0.3,Unweighted Count Greedy,300,0.12333333333333334,0.7492424242424244,27.583333333333332,138.88,415.64
